# times, data, noise_only, signal_only
2.539062500000000000e-02 5.124893835779927384e-23 5.106824495562682481e-23 1.806934021724476063e-25
2.636718750000000000e-02 -1.024433837142214199e-23 -1.043077126535130985e-23 1.864328939291675424e-25
2.734375000000000000e-02 -7.802060824479463601e-24 -7.988314426814415021e-24 1.862536023349516954e-25
2.832031250000000000e-02 1.176738308556011481e-22 1.174934648138080157e-22 1.803660417931350603e-25
2.929687500000000000e-02 -3.022173148808302056e-23 -3.039039203478226978e-23 1.686605466992471086e-25
3.027343750000000000e-02 -1.028997758281448724e-22 -1.030514989533722794e-22 1.517231252274077694e-25
3.125000000000000000e-02 6.962254052769864808e-24 6.832461835228649773e-24 1.297922175412157467e-25
3.222656250000000000e-02 1.366495870351965147e-22 1.365458060075530897e-22 1.037810276434235204e-25
3.320312500000000000e-02 2.577866935011073086e-23 2.570443626465599443e-23 7.423308545473624056e-26
3.417968750000000000e-02 6.606867574380123852e-23 6.602635130917438571e-23 4.232443462685683601e-26
3.515625000000000000e-02 -8.889740022453933105e-24 -8.898532341193340882e-24 8.792318739408077434e-27
3.613281250000000000e-02 -4.427303188333785726e-24 -4.402246276230646870e-24 -2.505691210313910832e-26
3.710937500000000000e-02 6.105015816140314232e-24 6.163425042228937635e-24 -5.840922608862363205e-26
3.808593750000000000e-02 8.450035654771268761e-25 9.349447843272060325e-25 -8.994121885007917931e-26
3.906250000000000000e-02 -3.123293448741182581e-23 -3.111403033668739893e-23 -1.189041507244268841e-25
4.003906250000000000e-02 -9.759055796404602847e-23 -9.744644237454801019e-23 -1.441155894980165287e-25
4.101562500000000000e-02 2.703935980626240717e-23 2.720438245896479931e-23 -1.650226527023910854e-25
4.199218750000000000e-02 7.519710442377841641e-23 7.537778723889548964e-23 -1.806828151170705673e-25
4.296875000000000000e-02 5.317983874340965709e-23 5.337068030343338946e-23 -1.908415600237282831e-25
4.394531250000000000e-02 2.573701276774783565e-23 2.593191954609622016e-23 -1.949067783483858348e-25
4.492187500000000000e-02 3.335600742543564474e-23 3.354900740487849044e-23 -1.929999794428472121e-25
4.589843750000000000e-02 -1.609095372898407788e-23 -1.590604783303179968e-23 -1.849058959522787031e-25
4.687500000000000000e-02 -1.702793354891041295e-23 -1.685680307291514976e-23 -1.711304759952636012e-25
4.785156250000000000e-02 3.877337662399908231e-23 3.892522494134942377e-23 -1.518483173503396722e-25
4.882812500000000000e-02 -3.725143729346083299e-24 -3.597206504596509620e-24 -1.279372247495734489e-25
4.980468750000000000e-02 6.471983909275703940e-23 6.481973329400593864e-23 -9.989420124890424359e-26
5.078125000000000000e-02 -1.139011653548678476e-23 -1.132124419074838797e-23 -6.887234473839650836e-26
5.175781250000000000e-02 -2.509077807762866675e-23 -2.505517485953729898e-23 -3.560321809136740851e-26
5.273437500000000000e-02 -9.568596736843620112e-23 -9.568454496116283083e-23 -1.422407273374212102e-27
5.371093750000000000e-02 4.715011800274374128e-23 4.711728078123954221e-23 3.283722150419730572e-26
5.468750000000000000e-02 1.142935078400896522e-22 1.142276894797445459e-22 6.581836034510632262e-26
5.566406250000000000e-02 3.726150931394890697e-23 3.716478003631788718e-23 9.672927763101760465e-26
5.664062500000000000e-02 5.926350154728702558e-23 5.913919103277069691e-23 1.243105145163318851e-25
5.761718750000000000e-02 6.257016111740630122e-23 6.242221587716938710e-23 1.479452402369195856e-25
5.859375000000000000e-02 1.317633086541213158e-22 1.315966848622007737e-22 1.666237919205525437e-25
5.957031250000000000e-02 4.094857989248353161e-23 4.076855023221457791e-23 1.800296602689532406e-25
6.054687500000000000e-02 -5.362738922428461829e-23 -5.381486986808838761e-23 1.874806438037724884e-25
6.152343750000000000e-02 6.172820142583559275e-23 6.153917732834830644e-23 1.890240974872820326e-25
6.250000000000000000e-02 -1.240733258218192152e-23 -1.259170973542303154e-23 1.843771532411100710e-25
6.347656250000000000e-02 5.224322435255194281e-23 5.206922701925100660e-23 1.739973333009363468e-25
6.445312500000000000e-02 -5.084140739108360495e-23 -5.099939608565963283e-23 1.579886945760292590e-25
6.542968750000000000e-02 -3.224080170159178810e-23 -3.237797492034821906e-23 1.371732187564297717e-25
6.640625000000000000e-02 -8.468911285808376721e-23 -8.480111415963520198e-23 1.120013015514327932e-25
6.738281250000000000e-02 -3.796913896508838634e-23 -3.805274660681962582e-23 8.360764173123887313e-26
6.835937500000000000e-02 -4.346563235722885894e-23 -4.351831899939828257e-23 5.268664216942474069e-26
6.933593750000000000e-02 -8.856478533033628513e-24 -8.877023785904287366e-24 2.054525287065893023e-26
7.031250000000000000e-02 4.724051154091698624e-23 4.725252019140685257e-23 -1.200865048986452494e-26
7.128906250000000000e-02 9.678136238627371256e-23 9.682497432775249046e-23 -4.361194147877534898e-26
7.226562500000000000e-02 3.465480870499540290e-23 3.472829325555201697e-23 -7.348455055661572933e-26
7.324218750000000000e-02 -8.715364898003103817e-23 -8.705327099738082334e-23 -1.003779826502205071e-25
7.421875000000000000e-02 2.311190208432393954e-24 2.434882590884403831e-24 -1.236923824520099458e-25
7.519531250000000000e-02 1.452174147891562537e-22 1.453598193084394134e-22 -1.424045192831656062e-25
7.617187500000000000e-02 9.050358006013690419e-23 9.065977849406203698e-23 -1.561984339251331391e-25
7.714843750000000000e-02 1.819299176885777227e-24 1.983694796664233144e-24 -1.643956197784560555e-25
7.812500000000000000e-02 -1.587595668461939178e-22 -1.585925052678392094e-22 -1.670615783546983821e-25
7.910156250000000000e-02 2.419985972257669494e-23 2.436376070947193205e-23 -1.639009868952359363e-25
8.007812500000000000e-02 -7.818888233573364434e-23 -7.803351695392245156e-23 -1.553653818111973245e-25
8.105468750000000000e-02 -9.097807416448710178e-23 -9.083652149296691287e-23 -1.415526715201905664e-25
8.203125000000000000e-02 2.788021614510845555e-23 2.800351322589373191e-23 -1.232970807852769514e-25
8.300781250000000000e-02 -8.959128744924049751e-23 -8.949025816225941944e-23 -1.010292869810822279e-25
8.398437500000000000e-02 -3.201813720006893899e-23 -3.194227701011326132e-23 -7.586018995567957718e-26
8.496093750000000000e-02 4.109535541099117823e-23 4.114380687639384673e-23 -4.845146540267100267e-26
8.593750000000000000e-02 1.199177491468344509e-22 1.199378459409288122e-22 -2.009679409436024641e-26
8.691406250000000000e-02 -4.065556713081983941e-23 -4.066400766284741674e-23 8.440532027574859805e-27
8.789062500000000000e-02 -9.211465175971329101e-23 -9.215050607709500446e-23 3.585431738171183769e-26
8.886718750000000000e-02 1.783894312939856285e-22 1.783279914113199671e-22 6.143988266566459339e-26
8.984375000000000000e-02 9.931143352495108725e-24 9.847139903995239963e-24 8.400344849986896919e-26
9.082031250000000000e-02 -1.294056397401783464e-22 -1.295086649988490824e-22 1.030252586707385137e-25
9.179687500000000000e-02 -4.810991066069118844e-23 -4.822748605521085126e-23 1.175753945196657556e-25
9.277343750000000000e-02 9.679098451409561271e-23 9.666352990622616423e-23 1.274546078694543156e-25
9.375000000000000000e-02 1.307835325342523524e-22 1.306514569475444167e-22 1.320755867079281729e-25
9.472656250000000000e-02 -9.863242122652032914e-24 -9.994848991598371945e-24 1.316068689463393289e-25
9.570312500000000000e-02 1.197131506221908514e-22 1.195872906754453220e-22 1.258599467455296917e-25
9.667968750000000000e-02 1.644095503906703684e-22 1.642941360803052920e-22 1.154143103650738091e-25
9.765625000000000000e-02 2.603516807854299248e-23 2.593470642219394736e-23 1.004616563490459274e-25
9.863281250000000000e-02 2.114042822869647177e-23 2.105850579519162339e-23 8.192243350484792302e-26
9.960937500000000000e-02 4.806699318074661311e-23 4.800669438837044713e-23 6.029879237616435320e-26
1.005859375000000000e-01 7.083488941594718364e-23 7.079810409261900689e-23 3.678532332817468928e-26
1.015625000000000000e-01 -2.845937574078630403e-23 -2.847145899618036716e-23 1.208325539406102536e-26
1.025390625000000000e-01 -6.117713969930921124e-23 -6.116463818265429627e-23 -1.250151665491278163e-26
1.035156250000000000e-01 -5.154760455983214911e-23 -5.151137520886338631e-23 -3.622935096876569138e-26
1.044921875000000000e-01 3.557119503261593727e-23 3.562900986633707137e-23 -5.781483372113442177e-26
1.054687500000000000e-01 -1.270468643693433586e-22 -1.269702423816543819e-22 -7.662198768898462315e-26
1.064453125000000000e-01 -4.880669267631632560e-23 -4.871512934174163946e-23 -9.156333457468793056e-26
1.074218750000000000e-01 -4.435030303927412467e-23 -4.424802829710011129e-23 -1.022747421740137457e-25
1.083984375000000000e-01 4.421458977517219223e-23 4.432257014501710134e-23 -1.079803698449090155e-25
1.093750000000000000e-01 6.208021966605998587e-23 6.218889238737469282e-23 -1.086727213147113336e-25
1.103515625000000000e-01 -2.473491253357125669e-23 -2.463092727447446302e-23 -1.039852590967943653e-25
1.113281250000000000e-01 -1.459432294326993440e-22 -1.458488766537495147e-22 -9.435277894983264891e-26
1.123046875000000000e-01 1.271028949959640141e-23 1.279012736772087612e-23 -7.983786812447505314e-26
1.132812500000000000e-01 8.928929384710712550e-23 8.935057466940237231e-23 -6.128082229524625492e-26
1.142578125000000000e-01 9.572776168138918561e-23 9.576689514335414823e-23 -3.913346196496066918e-26
1.152343750000000000e-01 9.260991541028619391e-23 9.262451532508406615e-23 -1.459991479786879413e-26
1.162109375000000000e-01 -1.026270568985486010e-22 -1.026386314574207717e-22 1.157455887217238269e-26
1.171875000000000000e-01 3.349247052354314375e-23 3.345448987973341967e-23 3.798064380972133788e-26
1.181640625000000000e-01 -5.042822455398508768e-23 -5.049196904301645067e-23 6.374448903136103223e-26
1.191406250000000000e-01 -2.440106448616621575e-23 -2.448845869726446675e-23 8.739421109825155329e-26
1.201171875000000000e-01 -1.765065794411795231e-22 -1.766146690872545245e-22 1.080896460750001761e-25
1.210937500000000000e-01 9.415673648729177984e-23 9.403223140818402941e-23 1.245050791077462011e-25
1.220703125000000000e-01 5.835760325872801332e-23 5.822156219156399064e-23 1.360410671640281013e-25
1.230468750000000000e-01 -2.023634428335168620e-23 -2.037801837617631079e-23 1.416740928246256923e-25
1.240234375000000000e-01 1.174884581133472427e-22 1.173472815444662532e-22 1.411765688809783988e-25
1.250000000000000000e-01 -6.812610431700082328e-23 -6.826008104094491294e-23 1.339767239440874115e-25
1.259765625000000000e-01 -3.752091126132931506e-23 -3.764126961785716805e-23 1.203583565278503949e-25
1.269531250000000000e-01 -9.916361169579321608e-23 -9.926388274769202805e-23 1.002710518988164867e-25
1.279296875000000000e-01 2.177998400334683637e-22 2.177253228323720064e-22 7.451720109637308133e-26
1.289062500000000000e-01 -1.428698416600467259e-23 -1.433055202058826769e-23 4.356785458359527669e-26
1.298828125000000000e-01 1.514644537268051931e-23 1.513770869898682852e-23 8.736673693690349063e-27
1.308593750000000000e-01 -9.979054103276351521e-23 -9.976148452298598315e-23 -2.905650977752998079e-26
1.318359375000000000e-01 5.224173430049808542e-23 5.230987037037009540e-23 -6.813606987200864643e-26
1.328125000000000000e-01 7.785033673108979885e-23 7.795763693061953622e-23 -1.073001995297316288e-25
1.337890625000000000e-01 -9.436685503057997876e-23 -9.422218878577709853e-23 -1.446662448028801915e-25
1.347656250000000000e-01 -7.319167313545062457e-23 -7.301273394495425892e-23 -1.789391904963712033e-25
1.357421875000000000e-01 -1.624899561919835876e-22 -1.622816750713485386e-22 -2.082811206350438823e-25
1.367187500000000000e-01 -1.001067635086701232e-22 -9.987519689076021541e-23 -2.315666179099028682e-25
1.376953125000000000e-01 -5.245472859683246955e-23 -5.220750631040308259e-23 -2.472222864293878346e-25
1.386718750000000000e-01 4.220914474743490849e-23 4.246364016668212678e-23 -2.544954192472163644e-25
1.396484375000000000e-01 -6.840596193392323634e-23 -6.815365363883787895e-23 -2.523082950853604258e-25
1.406250000000000000e-01 -7.726266967418973073e-24 -7.485759377742484196e-24 -2.405075896764892451e-25
1.416015625000000000e-01 -1.845495955190096129e-23 -1.823629299310699618e-23 -2.186665587939643329e-25
1.425781250000000000e-01 -8.455604343903449666e-23 -8.436872325183218470e-23 -1.873201872023149912e-25
1.435546875000000000e-01 -2.241862040339589673e-24 -2.095090583107813755e-24 -1.467714572317758260e-25
1.445312500000000000e-01 5.152969706933392475e-23 5.162800573900004481e-23 -9.830866966612106093e-26
1.455078125000000000e-01 1.155632185356426818e-22 1.156061687447740404e-22 -4.295020913135337394e-26
1.464843750000000000e-01 5.112440082355961067e-23 5.110702945472075042e-23 1.737136883885948562e-26
1.474609375000000000e-01 -7.788508613439984266e-23 -7.796615139414920000e-23 8.106525974935153614e-26
1.484375000000000000e-01 -9.368061703407794130e-23 -9.382631893054388252e-23 1.457018964659431561e-25
1.494140625000000000e-01 -6.057936798754563123e-23 -6.078868810367334457e-23 2.093201161277133870e-25
1.503906250000000000e-01 1.325367461577748717e-23 1.298439182170392029e-23 2.692827940735679861e-25
1.513671875000000000e-01 3.064930320792245754e-23 3.032572312206845048e-23 3.235800858540070599e-25
1.523437500000000000e-01 4.156584495076752411e-23 4.119618208855009362e-23 3.696628622174332395e-25
1.533203125000000000e-01 4.836537469619425458e-23 4.795960536002063278e-23 4.057693361736206466e-25
1.542968750000000000e-01 -2.180793718593554694e-23 -2.223771995483099572e-23 4.297827688954491465e-25
1.552734375000000000e-01 -9.116382444545681392e-24 -9.556926581787416861e-24 4.405441372417358358e-25
1.562500000000000000e-01 1.328883522277378461e-22 1.324516934077354246e-22 4.366588200024161251e-25
1.572265625000000000e-01 5.312809948154878439e-23 5.271030280956038351e-23 4.177966719883955502e-25
1.582031250000000000e-01 -3.479959414636115830e-24 -3.863463496619316041e-24 3.835040819832000731e-25
1.591796875000000000e-01 1.334457217329029388e-23 1.301008859457378406e-23 3.344835787165086784e-25
1.601562500000000000e-01 1.310694884411333695e-22 1.307981521317253059e-22 2.713363094080714496e-25
1.611328125000000000e-01 5.592728281204188554e-23 5.573148296936732157e-23 1.957998426745646529e-25
1.621093750000000000e-01 -2.468654650409811361e-23 -2.479602835060537269e-23 1.094818465072580945e-25
1.630859375000000000e-01 -2.533468888648373435e-23 -2.534977261276520383e-23 1.508372628147059258e-26
1.640625000000000000e-01 -5.482645568838652556e-24 -5.397712638608090013e-24 -8.493293023056272694e-26
1.650390625000000000e-01 -6.626422700913047194e-23 -6.607705140503695043e-23 -1.871756040935167866e-25
1.660156250000000000e-01 -2.313316350382521129e-23 -2.284449851345876571e-23 -2.886649903664453915e-25
1.669921875000000000e-01 2.239158984706880066e-23 2.277724566286499365e-23 -3.856558157961928097e-25
1.679687500000000000e-01 7.329220395330377569e-23 7.376722550390240525e-23 -4.750215505986286418e-25
1.689453125000000000e-01 -3.800515354383573403e-23 -3.745203668300881299e-23 -5.531168608269212239e-25
1.699218750000000000e-01 3.254336209568099722e-23 3.316052400313861100e-23 -6.171619074576123091e-25
1.708984375000000000e-01 -1.239015343131948464e-22 -1.232374709872578023e-22 -6.640633259370478875e-25
1.718750000000000000e-01 6.612792776828576259e-25 1.353075638997956774e-24 -6.917963613150991476e-25
1.728515625000000000e-01 1.113231376882945813e-23 1.183055481039419783e-23 -6.982410415647391512e-25
1.738281250000000000e-01 9.790642528769059732e-23 9.858897398269945550e-23 -6.825486950088620404e-25
1.748046875000000000e-01 7.444025436983419388e-23 7.508416084282972302e-23 -6.439064729955341879e-25
1.757812500000000000e-01 -5.506159057012877178e-23 -5.447873220118509484e-23 -5.828583689436718873e-25
